id,pair,formation,frequency_1,frequency_2,gsi,relative_phase,delta_f,coherence,interpersonal_distance,position_1_x,position_1_y,position_2_x,position_2_y,stationarity_1,stationarity_2,lyapunov_1,lyapunov_2,determinism_1,determinism_2,rec,det,maxline,m_1,tau_1,m_2,tau_2
110104001101050011010501,left_center,v,1.07,1.0633333333333335,0.08230265091850646,-1.085334358868606,0.006666666666666599,0.1546585146429485,1.3463704420185056,-0.9290431580660804,0.4560132851005108,0.000993544154214187,-0.23888818082276572,True,True,0.2360275475265341,0.2676756076481076,0.49777109567127154,0.7295647605746618,0.2050100862979889,0.9637717748043423,59.0,,,,
110104001101050011010501,right_center,v,1.1366666666666667,1.0633333333333335,0.1939012243843635,2.31599840846315,0.07333333333333325,0.4456809400526543,1.1661152463871125,0.928049613911865,-0.21712510427774487,0.000993544154214187,-0.23888818082276572,True,True,0.2550551774477771,0.2507619840700652,0.7666274640087571,0.7295647605746618,0.15433983504772186,0.9581656606304494,44.0,,,,
110104001101050011010501,left_right,v,1.07,1.1366666666666667,0.09550334737096126,0.6444579015421912,0.06666666666666665,0.3108735545120547,2.093348933357232,-0.9290431580660804,0.4560132851005108,0.928049613911865,-0.21712510427774487,True,True,0.25519107042593836,0.28369654847368136,0.49777109567127154,0.7666274640087571,0.20634284615516663,0.960368721389603,57.0,,,,
111014001110140111101402,left_center,v,1.0866666666666667,,0.1061295824575331,1.1707319919370764,,0.33365677620553563,0.9257168365210418,-0.6016353884817979,0.3199766337693423,-0.0829745987055026,-0.28403196660246893,True,True,0.22157171050701388,0.18374398260714173,0.762045494648007,0.6617958203015221,0.3718569576740265,0.9880421966463891,272.0,,,,
111014001110140111101402,right_center,v,0.9600000000000001,,0.10719872213420502,0.25901941804122464,,0.32782198038295346,0.9388608609597525,0.6846099871873026,-0.035944667166871995,-0.0829745987055026,-0.28403196660246893,True,True,0.20151539764971818,0.18812414498264973,0.7518402890973431,0.6617958203015221,0.43302154541015625,0.9902141166022504,328.0,,,,
111014001110140111101402,left_right,v,1.0866666666666667,0.9600000000000001,0.13618258390574517,-2.73522008918834,0.1266666666666666,0.36043297383940165,1.445357129094634,-0.6016353884817979,0.3199766337693423,0.6846099871873026,-0.035944667166871995,True,True,0.20536731169206432,0.22647385375625959,0.762045494648007,0.7518402890973431,0.3092731237411499,0.9872854657581603,260.0,,,,
111711001117110111171102,left_center,v,1.0266666666666668,0.9366666666666668,0.14909697966248706,2.140341880949582,0.09000000000000008,0.3289792332320694,1.7464117196577111,-0.6641389145483497,-0.5208684605969274,-0.002735084662759556,-1.9198691515034474,True,True,0.23616594733027546,0.25431809440550945,0.8058392708957817,0.7287251536604669,0.20753495395183563,0.9786614075713214,163.0,,,,
111711001117110111171102,right_center,v,1.0733333333333335,0.9366666666666668,0.15333065001302718,1.7920379384890355,0.13666666666666671,0.32442529348905896,4.5771620361790015,0.6668739992111095,2.440737612100376,-0.002735084662759556,-1.9198691515034474,True,True,0.22574249934483298,0.26241150950844216,0.7173405277103971,0.7287251536604669,0.2412579208612442,0.979276256942253,177.0,,,,
111711001117110111171102,left_right,v,1.0266666666666668,1.0733333333333335,0.12718614106201204,0.4444080749665549,0.046666666666666634,0.3212923955192517,3.4867779039685836,-0.6641389145483497,-0.5208684605969274,0.6668739992111095,2.440737612100376,True,True,0.23248585210833897,0.2500161474597402,0.8058392708957817,0.7173405277103971,0.27477332949638367,0.9848413985658541,174.0,,,,
113032001130320111303202,left_center,abreast,1.0766666666666667,1.2166666666666668,0.11946641289132791,0.8156168182875221,0.14000000000000012,0.3786720715518923,1.032867017057326,-0.8147501448024882,-0.16759990961839638,0.0037983621367958745,-0.039871692026485286,True,True,0.21151844798239186,0.22626422425972273,0.5631742675901626,0.618438974880857,0.24898730218410492,0.9707158351409978,92.0,,,,
113032001130320111303202,right_center,abreast,1.1133333333333335,1.2166666666666668,0.16876047684313933,0.5984898574593784,0.10333333333333328,0.25337872101614534,1.0833132325206876,0.8109517826656922,0.2074716016448817,0.0037983621367958745,-0.039871692026485286,True,True,0.3830453534157804,0.26434393099809655,0.7885355637320484,0.618438974880857,0.15014852583408356,0.9711587872559095,84.0,,,,
113032001130320111303202,left_right,abreast,1.0766666666666667,1.1133333333333335,0.1127328455405977,1.5966745518252683,0.03666666666666685,0.4278400084849407,1.8223702028495548,-0.8147501448024882,-0.16759990961839638,0.8109517826656922,0.2074716016448817,True,True,0.23406070705021112,0.38606782909096105,0.5631742675901626,0.7885355637320484,0.1645287573337555,0.9729761416261211,103.0,,,,
113239001132400011324002,left_center,v,1.01,1.09,0.10681080034147632,-0.7280043551771773,0.08000000000000007,0.27279088525499295,1.0642214034174944,-0.582112071284013,0.2314939614773889,0.011586030164013189,-0.4388299820083016,True,True,0.29444404382701045,0.25477464758845236,0.5671024709299253,0.6698275016150556,0.28154632449150085,0.9770554325540857,146.0,,,,
113239001132400011324002,right_center,v,0.89,1.09,0.11932878782539882,2.0506520649870605,0.20000000000000007,0.305956022016044,1.0547282599235592,0.5705260411199997,0.20733602053091263,0.011586030164013189,-0.4388299820083016,True,True,0.22077980336987282,0.27538710769684566,0.5622716926092581,0.6698275016150556,0.3410528898239136,0.9855109904967936,182.0,,,,
113239001132400011324002,left_right,v,1.01,0.89,0.09651641424306116,2.0505742103352897,0.12,0.23858212462407322,1.3061644038489333,-0.582112071284013,0.2314939614773889,0.5705260411199997,0.20733602053091263,True,True,0.25296789737502245,0.24395134059915943,0.5671024709299253,0.5622716926092581,0.3065602481365204,0.9798355036960633,193.0,,,,
